Name,Age,Country,Salary,Email
Emma,41,Mexico,99276,emma8675@company.net
Jane,65,China,53194,jane4085@company.net
John,36,India,43327,john5566@webmail.co
Alex,22,USA,135056,alex4038@company.net
Emily,59,Australia,140558,emily2570@example.com
Liam,62,Canada,62284,liam9912@webmail.co
Sophia,37,Canada,66180,sophia3393@company.net
Emily,58,USA,114329,emily5849@test.org
Alex,60,China,72604,alex8735@webmail.co
Jane,48,India,115901,jane6123@example.com
Emma,61,Germany,106535,emma8867@mail.com
Sophia,47,Canada,97948,sophia9398@mail.com
Emma,56,Japan,41120,emma6566@example.com
Sophia,35,Mexico,115642,sophia8366@company.net
Anna,63,India,135773,anna9393@webmail.co
Anna,34,China,63831,anna6569@company.net
John,42,Mexico,82650,john8874@mail.com
Alex,20,Japan,78978,alex4250@test.org
Anna,53,China,31950,anna4774@example.com
Sophia,26,India,124206,sophia831@example.com
Anna,33,China,85606,anna8230@test.org
John,63,USA,136610,john8679@test.org
Emily,24,Australia,61557,emily1680@webmail.co
Emma,28,Germany,89042,emma5216@example.com
Anna,61,USA,84846,anna6367@example.com
Emma,60,Australia,80441,emma6424@webmail.co
John,62,USA,100722,john5048@example.com
Tom,35,Mexico,93165,tom1968@webmail.co
Emily,64,France,93121,emily9763@webmail.co
John,51,China,83411,john2950@test.org
Alex,60,USA,148462,alex3597@test.org
Liam,40,India,68175,liam6901@test.org
Emily,34,India,114523,emily5885@mail.com
Liam,20,Japan,84466,liam2397@webmail.co
Chris,52,Canada,49414,chris8913@company.net
Emma,59,Australia,36759,emma8759@mail.com
Emily,23,Canada,127599,emily8436@test.org
Chris,19,France,84439,chris776@mail.com
Alex,29,Germany,103080,alex8350@example.com
Emma,28,Australia,37931,emma1533@webmail.co
Sophia,57,UK,110062,sophia204@company.net
Liam,46,USA,93252,liam9813@company.net
Liam,28,Japan,60937,liam5910@mail.com
Jane,39,Mexico,132703,jane2770@company.net
John,46,UK,51087,john6915@test.org
Sophia,30,Germany,65449,sophia9379@example.com
Sophia,38,Mexico,125889,sophia5075@mail.com
John,43,India,121520,john2303@company.net
Liam,21,Australia,131815,liam3531@mail.com
Emily,32,China,30333,emily5633@test.org
Anna,28,Mexico,57592,anna9742@company.net
Emily,25,USA,127225,emily5401@mail.com
Liam,24,Germany,82226,liam9186@webmail.co
Sophia,41,UK,70212,sophia1048@company.net
Alex,20,France,74094,alex8001@example.com
Jane,19,Australia,90554,jane4023@webmail.co
Sophia,45,Germany,56780,sophia911@example.com
Anna,51,UK,120894,anna3398@mail.com
Tom,52,Mexico,140753,tom3177@example.com
Jane,18,USA,47068,jane4620@webmail.co
Emily,33,UK,119300,emily1799@test.org
Sophia,46,China,121495,sophia1549@example.com
John,52,China,49718,john1217@mail.com
Emily,33,Mexico,65268,emily2977@example.com
Jane,24,France,78799,jane5512@webmail.co
Emily,43,Japan,149656,emily153@test.org
Chris,50,India,135016,chris6352@mail.com
Tom,22,UK,127648,tom2500@test.org
Tom,37,USA,91285,tom7442@company.net
Chris,43,Australia,110594,chris7550@webmail.co
Sophia,54,Canada,128505,sophia3012@test.org
Emily,25,Australia,136451,emily5483@webmail.co
Emma,28,China,89030,emma6553@test.org
John,57,Germany,108735,john9564@webmail.co
Anna,38,UK,118010,anna5320@webmail.co
John,26,China,49959,john8264@example.com
John,37,Canada,145333,john1685@example.com
Jane,63,Australia,83393,jane7091@test.org
Alex,20,Germany,91271,alex6944@company.net
John,28,USA,42014,john4069@mail.com
Emily,48,Mexico,37767,emily9993@test.org
Emily,55,China,51578,emily8753@test.org
Liam,21,Canada,127087,liam882@webmail.co
Jane,61,UK,130564,jane4610@webmail.co
Chris,49,China,106412,chris3766@mail.com
Emily,61,Germany,69486,emily7194@company.net
John,58,France,74188,john7288@company.net
Jane,28,Mexico,142719,jane6914@test.org
Chris,44,India,128288,chris6639@test.org
Emily,60,France,90699,emily9330@test.org
Anna,18,Australia,39465,anna357@test.org
Emily,18,Germany,106457,emily7167@mail.com
John,48,Canada,116485,john3417@company.net
Jane,62,Canada,73440,jane9161@example.com
Sophia,45,China,57640,sophia7203@company.net
Alex,21,Japan,131651,alex4398@mail.com
Anna,34,China,147743,anna5913@example.com
Emily,47,India,75108,emily6901@example.com
Emma,61,Canada,98027,emma1595@company.net
Alex,37,India,78390,alex3916@mail.com
